text;summary
Josh Gordon Cleveland Browns star wide receiver Josh Gordon has been reinstated into the NFL and had his one-year suspension reduced to 10 games after the league announced changes to its drug policy. The league and Players' Association reached an agreement on Friday on revisions to the substance-abuse program. Earlier this week, they announced changes on performance-enhancing drugs. Gordon, who has at least four drug violations, has already served two games of the suspension. He will be eligible to play November 23 when the Browns visit Atlanta. Gordon's appeal of a season-long ban was upheld on Aug. 22. Under the new provisions, Gordon will be allowed to work out and attend team meetings. Before the changes, Gordon was only permitted to meet with his clinician at the team's facility. Despite being suspended for two games last season, Gordon led the league with 1,646 yards receiving.;Cleveland Browns star wide receiver Josh Gordon has been reinstated into the NFL . Brown had his one-year suspension reduced to 10 games after the league announced changes to its drug policy . Gordon, who has at least four drug violations, has already served two games of the suspension . He will be eligible to play Nov 23 when the Browns visit Atlanta
Michael Phelps has been crowned Male Athlete of the Year for a fifth time at the 2014 USA Swimming Golden Goggle Awards despite being suspended from competition for six months after a drunken driving arrest in September. Phelps was not at the New York ceremony where Keenan Robinson, an official from his training base, accepted the award on his behalf and confirmed Phelps had returned to the pool. The 18-time Olympic gold medallist stepped away from training in early October. Michael Phelps has been crowned Male Athlete of the Year at the 2014 USA Swimming Golden Goggle Awards Phelps is the most decorated Olympian in sports history, winning 18 Olympic golds during his career Olympic gold medallist and world record-holder Katie Ledecky capped her memorable 2014 season by claiming three awards, including USA Swimming's Female Athlete of the Year.;Michael Phelps was not present at the New York ceremony . Phelps was handed a six-month suspension by USA Swimming following his arrest for allegedly drink driving last month . Phelps confirmed in October that he would be taking a break from swimming to focus on his personal issues . Phelps is the most successful Olympic athlete in history, with 22 medals in total including 18 golds
By Pa Reporter Arsenal striker Olivier Giroud has been ruled out of Wednesday's Champions League qualifier against Besiktas with a foot injury. Aaron Ramsey is suspended after being sent off in the first leg in Istanbul while midfield colleague Mikel Arteta is missing with an ankle problem. Full-back Kieran Gibbs and winger Theo Walcott are absent with respective hamstring and knee injuries. Provisional squad: Szczesny, Debuchy, Chambers, Koscielny, Monreal, Flamini, Wilshere, Sanchez, Cazorla, Martinez, Oxlade-Chamberlain, Campbell, Miquel, Rosicky, Bellerin, Diaby, Sanogo, Mertesacker, Podolski, Ozil. CLICK HERE TO READ MATT BARLOW'S PRE-MATCH SCENE SETTER Out: Olivier Giroud will miss the second leg of Arsenal's Champions League play-off with an ankle injury;Olivier Giroud ruled out of Wednesday's qualifier with a foot injury . Aaron Ramsey is suspended after red card in first leg draw in Turkey . Mikel Arteta also out for Arsenal with ankle problem . Kieran Gibbs and Theo Walcott also out through injury . First leg finished 0-0 in Turkey
Angel di Maria has given his first interview as a Manchester United player following his £60million British transfer record switch from Real Madrid. The Argentina star has given United a boost during a troubled week in which they lost 4-0 to League One MK Dons. He has also been getting familiar with his new surroundings, being pictured out and about in Manchester this week. He - and the United fans - will hope he is in the squad to face Burnley on Saturday. Like our dedicated Manchester United Facebook page. Putting their shirt on him: Mancheter United's British record signing Angel di Maria VIDEO I will help United return to the top - Di Maria;Angel Di Maria joined Manchester United on Tuesday in a British transfer record smashing £60m move . The Argentina winger's arrival has given Man Utd a boost amid a poor start to the season . Di Maria has been unveiled today . Man United fans will hope to see him against Burnley on Saturday . Di Maria pictured out in Manchester this week . Click here to watch the interview on MUTV . For more news on United's summer signings click here
Sunderland scouts watched Celtic defender Virgil van Dijk at Kilmarnock on Monday night. Manager Gus Poyet has lined up an £8million move for the Holland Under 21 international who has also attracted interest from Everton. Van Dijk has been an ever present for the Bhoys so far this season, scoring six goals in 32 appearances. Virgil van Dijk looks to get the better of Kilmarnock's Ross Barbour during the Bhoys 2-0 win Van Dijk celebrates scoring in the Scottish Cup for Celtic against Hearts in November The 23-year-old, who started his career as a youth at Willem II, has said in the past that his attacking flair and instinct comes from Dutch legend Johan Cruyff. Celtic are reluctant to sell in this window but the 23-year-old is eager to move to the Barclays Premier League. The highly-rated Van Dijk has two-and-a-half years left on his current deal at Parkhead.;Sunderland scouts watched Virgil van Dijk at Kilmarnock on Monday night . Black Cats boss Gus Poyet is lining up an £8million bid for the 23-year-old . Celtic are reluctant to sell the Holland Under 21 international . Van Dijk has scored six goals for the Bhoys so far this season . Everton have also expressed an interest in Van Dijk
Ahead of a weekend of FA Cup action, Sportsmail brings you the latest squad news, odds and stats on every top flight fixture as it breaks. Simply click on your team in the fixture list below to find out who is ruled out and who is making a return as well as all the key statistics surrounding your club's fixture. Keep up-to-date with all the latest team news and stats ahead of the FA Cup weekend SATURDAY West Brom vs West Ham (12.45pm) Blackburn Rovers vs Stoke City (3pm) Derby County vs Reading (3pm) Crystal Palace vs Liverpool (5.30pm) SUNDAY Aston Villa vs Leicester (12.30pm) Bradford City vs Sunderland (2.30pm) Arsenal vs Middlesbrough (4pm);West Brom face West Ham in the early FA Cup game on Saturday . Blackburn Rovers face Stoke City, Derby County will play Reading . Crystal Palace will host Liverpool late on Saturday . Aston Villa host Leicester on Sunday lunch time . Arsenal face Middlesbrough at the Emirates Stadium . Bradford play Sunderland looking for another giantkilling
"Hull's Ahmed Elmohamady has pulled out of Egypt's forthcoming African Nations Cup double header. Elmohamady, the right winger or full-back, was injured during a man-of-the-match performance against Crystal Palace at the weekend and will not be travelling for Friday's game in Botswana or the home clash in Cairo five days later. A short statement from the Tigers read: ""The club can confirm that Ahmed Elmohamady has withdrawn from Egypt's African Cup of Nations qualifiers with a back spasm."" Ahmed Elmohamady tries to win the ball for Hull City during Saturday's 2-0 win on against Crystal Palace The Egyptian wing-back attempts to beat Gael Clichy during the Tigers' 4-2 defeat against Manchester City";Hull City's Ahmed Elmohamady is out of Egypt's African Cup of Nations two qualifiers this month due to back spasms . Egypt play Botswana on Friday then again next Wednesday . Elmohamady suffered the injury in Hull's 2-0 win against Crystal Palace . hull have not confirmed how long the player will be out for
"Several top leaders of El Salvador's Mara street gangs have begun a hunger strike to protest conditions at the Zacatecoluca prison. The Ministry of Justice and Public Safety did not identify the prisoners Friday, but local media say they are leaders of the Mara Salvatrucha and Barrio 18 gangs. Justice Minister Benito Lara says some prisoners are on hunger strike for better conditions. Several top leaders of El Salvador's Mara street gangs have begun a hunger strike to protest conditions at the Zacatecoluca prison He says, 'They are all stable; there are no problems.' The prison is known as 'Zacatraz' and it has stricter rules than most Salvadoran prisons. No conjugal visits are allowed and there are few opportunities for contact with the outside world or participation in prison programs. Most of the leaders are serving sentences of 20 years or more for crimes like homicide or extortion.";Prison is known as 'Zacatraz' and it has stricter rules than most Salvadoran prisons . There are no conjugal visits are allowed and there are few opportunities for contact with the outside world or prison programs . Most of the leaders are serving sentences of 20 years or more for crimes like homicide or extortion
The eyes of world were focussed on the Lindt café in Sydney as a mad lone gunman terrorised 18 innocent hostages. For 17 hours, little was known about the figure that TV cameras caught glimpses of in the window, or the nightmare he was subjecting his victims to. The man grew more agitated as he realised the demands he was forcing his hostages to post online were not being met, or even broadcast. But after his siege ended in gunfire killing two of his captives, details of self-proclaimed sheik Man Haron Monis - and a timeline of events during the terrifying hours he held his hostages captive - started coming together. Here are the events, as they played out. Scroll down for video;Details of the terrifying hours Man Haron Monis held his hostages captive in Sydney have started coming together . Monis forced his captives to post his demands in messages on Facebook and videos uploaded to YouTube . Cafe manager Tori Johnson and barrister Katrina Dawson were fatally wounded in a firefight which ended the siege
Middlesbrough left back George Friend is interesting West Brom and Crystal Palace. The 27-year-old has been a consistent performer for Aitor Karanka's side this season. And his displays have caught the eye of both Tony Pulis and Alan Pardew. George Friend (right) is attracting interest from Premier League duo West Brom and Crystal Palace The 27-year-old (right) has been in impressive form for Aitor Karanka's side this season Back in August both Palace and Queens Park Rangers were keen on striking a deal for the defender, but instead Friend penned a new four-year deal at the Riverside Stadium. QPR have also shown an interest in Friend in this transfer window, but the tight financial situation would provide a stumbling block towards a deal. The experienced defender has made 110 appearances for Boro since signing from Doncaster Rovers three years ago.;George Friend has been in impressive form for Middlesbrough this season . The 27-year-old is attracting interest from Premier League duo West Brom and Crystal Palace . Friend only signed a new four-deal at the Riverside Stadium in August . QPR are also interested but their financial situation may prove a stumbling block in any potential deal
Lewis Hamilton and Nico Rosberg go head to head in Abu Dhabi on Sunday in a title-deciding race that will leave one Mercedes driver on top of the world and the other sorely disappointed. So, scroll down as Sportsmail's graphics detail the tale of the season, an analysis of the two drivers and a turn-by-turn guide to the track in Abu Dhabi. Here's how the tale of the season has unfolded between Mercedes drivers Lewis Hamilton and Nico Rosberg Sportsmail's Phil Duncan delivers his verdict on Hamilton and Rosberg with the Brit topping his counterpart Here's how Hamilton and Rosberg compare in their respective Formula One careers and throughout 2014 The track at Abu Dhabi broken down into its turns, laps, length and all the best statistics ahead of Sunday Hamilton (left) and Rosberg (right) are preparing for battle in Abu Dhabi on Sunday from 1pm;Lewis Hamilton goes into title-deciding Abu Dhabi Grand Prix on Sunday . Nico Rosberg is 17 points adrift of Mercedes team-mate Hamilton . If Hamilton wins he will become the first British double world champion since Jackie Stewart in 1971 . Toto Wolff is letting the pair go all out to win and labels Rosberg 'ruthless'
Real Madrid are 90 minutes from being crowned the best team on the planet after beating Mexican side Cruz Azul 4-0 to reach Saturday's World Club Cup final. With their 21st straight win they won Tuesday's semi-final in Marrakech to set-up a potential showdown with the Copa Libertadores winners San Lorenzo who first need to beat Auckland City in Wednesday's second semi-final. Madrid started like a team that had won their last 20 games and could have been ahead inside three minutes when full back Dani Carvajal tore down the right and crossed to Karim Benzema. The Frenchman headed the ball down to Cristiano Ronaldo inside the six-yard box but his shot was saved at point-blank range by Jesus Corona in the Cruz Azul goal. CLICK HERE TO READ PETE JENSON'S MATCH REPORT IN FULL.;Real Madrid 4-0 Cruz Azul - Click here to read our match report . Real Madrid go 4-0 up after a fine individual goal from midfielder Isco . Gareth Bale headed his side's third goal of the evening after 50 minutes . Karim Benzema made it 2-0 with a neat finish after 36 minutes . Sergio Ramos gave Carlo Ancelotti's side the lead with a header . Iker Casillas saves a penalty to keep the score at 2-0 . Live stream courtesy of Goal.com
By Jonathan Block United Flight 5714 was schedule to leave JFK at 7:35 p.m. and passengers had already begun boarding the plane when the tweet was spotted at 7:05 p.m. A United Airlines jet (same model pictured) was delayed out of New York's JFK Airport on Wednesday evening after a bomb threat was posted on Twitter The jet finally arrived at Washington Dulles International Airport (pictured) more than an hour and a half late All 49 passengers aboard the Bombardier CRJ200 regional jet were evacuated as crews search the plane for explosives. None were found. The passengers were also all searched again and their baggage rescreened. The plane finally left the gate at 9:19 p.m. and arrived at the Washington, D.C.-area airport at 10:31 p.m., one hour and 38 minutes late.;Tweet posted to United's Twitter account noticed by employee in corporate security at 7:05 p.m. Wednesday night, 30 minutess before the flight was scheduled to depart JFK Airport . All 49 passenger evacuated from plane and searched again while luggage was rescreened . Plane landed at Washington Dulles International Airport more than an hour and a half late
By Sami Mokbel Follow @@SamiMokbel81_DM Disgraced former Port Vale defender Daniel Jones is set to be handed a route back into professional football with Chesterfield. Jones was sacked by Port Vale following a training ground punch-up with Doug Loft that resulted in the latter suffering a fractured cheek bone. The incident occurred last month ahead of the 4-2 defeat at Notts County. On the move: Daniel Jones is set to sign for League One Chesterfield Loft's injuries from the bust-up were so bad it ruled him out for the final games of last season. Loft threatened to take legal action action against his former team-mate, but has since decided against it. But Jones is set to clinch a move to Chesterfield, who will play in League One next season following promotion. A deal could be completed by the end of the week.;Daniel Jones was sacked by Port Vale following a punch-up with Doug Loft . Loft suffered a fractured cheek bone in the training-ground incident . Loft considered legal action after he was ruled out of final games of season . Chesterfield could finalise the move for Jones by the end of this week
By Associated Press PUBLISHED: 13:21 EST, 17 March 2014 | UPDATED: 14:42 EST, 17 March 2014 A Chevrolet Traverse LS, one of the 1.2 million SUVs GM is recalling over an air bag issue A Chevrolet Express van, one of the more than 300,000 vans under a GM recall over faulty material on the instrument panel;Almost 1.2 million SUVs have problem where air bags and seat belt pretensioners might not deploy . More 300,000 vans have problem with defective material on the instrument panel . GM to spend about $300 million on this newest recall and another one impacting 1.6 million small cars that was previously disclosed
Ahead of another weekend in the Barclays Premier League, Sportsmail brings you the latest squad news, odds and stats on every top flight fixture as it breaks. Simply click on your team in the fixture list below to find out who is ruled out and who is making a return as well as all the key statistics surrounding your club's fixture. In or out? Keep up-to-date with all the latest team news and stats ahead of the Premier League weekend SATURDAY Arsenal vs Liverpool (12.45pm) Everton vs Southampton (3pm) Leicester City vs West Ham United (3pm) Manchester United vs Aston Villa (3pm) Swansea City vs Hull City (3pm) West Bromwich Albion vs QPR (3pm) Chelsea vs Stoke (5.30pm) SUNDAY Burnley vs Tottenham Hotspur (1.30pm) Sunderland vs Newcastle United (4pm) MONDAY Crystal Palace vs Manchester City (8pm);Arsenal host Liverpool in explosive return from international football . Manchester United feature at Saturday 3pm when they take on Aston Villa . League leaders Chelsea welcome Stoke City in Saturday evening kick off . Barclays Premier League champions Manchester City travel to Crystal Palace for Monday Night Football . Sunderland and Newcastle United clash in Wear-Tyne derby on Sunday
By Simon Jones Aston Villa full-back Matthew Lowton is wanted on loan by Middlesbrough. The 25-year-old joined Villa from Sheffield United in 2012 when Paul Lambert took charge, and impressed initially but fell out with Lambert last season. On the move? Middlesbrough want to sign Matthew Lowton to boost their promotion push Getting stuck in: Is this a sign of things to come with Lowton touted for a move to the Championship? Boro have also agreed a deal with former Real Mallorca wing-back Emilio Nsue after the 24-year-old cancelled his contract.;Middlesbrough want to sign Matthew Lowton . The Aston Villa utility man can play across defence . Lowton will move down from the Premier League to the Champonship if he seals the move . Lowton was axed by boss Paul Lambert for being late to training in January . But the Scot insisted he did not have a beef with the 25-year-old after clear-the-air talks . Emilio Nsue has joined the midlands club from Real Mallorca
The exchanges between Nathan Cleverly and Tony Bellew ahead of their fight at the Liverpool Echo Arena on Saturday have already become nasty. The pair do not get on. When they fought as light heavyweights in 2011, Cleverly emerged victorious but Bellew has made it clear he is out for revenge now they have both moved up to cruiserweights and predicted he will enjoy a 'devastating' victory at the weekend. They will face up again for the weigh-in at St George's Hall on Friday and you can watch the meeting live below. Tony Bellew (left) and Nathan Cleverly (right) face up ahead of their fight in Liverpool on Saturday;Nathan Cleverly and Tony Bellew set for the weigh-in before the fight . The two boxers were held apart in their head-to-head on Thursday . They fought as light heavyweights in 2011 and now meet as cruiserweights . Cleverly and Bellew will clash on Sky Sports Box Office on Saturday night
The Masters 2015 is almost here. To help get you in the mood for the first major of the year, Rory McIlroy, Ian Poulter, Graeme McDowell and Justin Rose, plus past Masters champions Nick Faldo and Charl Schwartzel, give the lowdown on every hole at the world-famous Augusta National Golf Club. Click on the graphic below to get a closer look at what the biggest names in the game will face when they tee off on Thursday.;The 79th Masters Tournament gets underway at Augusta National on Thursday . Rory McIlroy and Tiger Woods will be the star attractions in the field bidding for the green jacket at 2015 Masters . McIlroy, Justin Rose, Ian Poulter, Graeme McDowell and more gave Sportsmail the verdict on each hole at Augusta . Click on the brilliant interactive graphic below for details on each hole of the Masters 2015 course . CLICK HERE for all the latest news from the Masters 2015
Jose Mourinho dubbed Paris Saint-Germain the 'most aggressive' team Chelsea has played this season, including a cup encounter with Shrewsbury Town from League Two. Mourinho claimed the most surprising aspect of the first leg in the Parc des Princes which ended 1-1 was that the French champions had not tried to play more football. So after the return leg at Stamford Bridge, which team won the Battle of the Bridge?;Jose Mourinho was less than complimentary about PSG in the build-up to the 2-2 draw at Stamford Bridge . He labelled them 'the most aggressive team' Chelsea have played all season . Zlatan Ibrahimovic was sent off in the first half for the French champions, but they . But which team was the dirtiest as Chelsea crashed out of the Champions League?
Swansea have been offered the chance to sign Mario Gomez from Fiorentina but the 29-year-old former Bayern Munich striker is chasing huge wages. The Welsh club are on the lookout for firepower with Wilfired Bony set to sign for Manchester City this winter. But German international Gomez might be out of their price range. Fiorentina striker Mario Gomez has been offered to Swansea but the may not be able to match his wages Gomez scores for Bayern Munich in the 2013 Champions League semi final first leg against Barcelona Baftebimi Gomis has stepped up in recent weeks while Nelson Oliveira has arrived on loan. Meanwhile Southampton are keen on Sporting Braga midfielder Rafa Silva, 21. The Saints are currently third in the Premier League and chasing Champions League qualification.;Germany international Mario Gomez has been offered to Swansea City . A deal is unlikely because the Swans may not be able to afford his wages . The Premier League side are potentially looking to replace Wilfried Bony . The Ivorian striker is set to move to Manchester City this winter
Twenty four hours after Floyd Mayweather Jnr dazzled the media with his skills, Manny Pacquiao takes his turn. The Filipino icon will be put through his paces at the iconic Wild Card gym in Los Angeles this evening under the watchful eye of trainer Freddie Roach. And after Mayweather was almost two hours late for his workout, Pacquiao has promised to be on time - and you can watch it here from 11pm.;Manny Pacquiao takes on Floyd Mayweather in Las Vegas on May 2 . Pacquiao will hold a public workout tonight in his gym in LA . Mayweather held his last night at the Mayweather Boxing Gym . The fight will be worth at least $300m, the richest in boxing history . READ: Mayweather admits he no longer enjoys boxing
By Simon Jones for MailOnline Roma have made an enquiry to take defender Mapou Yanga-Mbiwa from Newcastle. The France international - who arrived at St James' Park with a big reputation in January 2013 - also has an offer on the table from Marseille. Yanga-Mbiwa, 25, captained Montpellier to the French title in 2011-12 but has failed to live up to his reputation in England. Pastures new: Mapou Yanga-Mbiwa could be heading to Roma or Marseille He is yet to play for Newcastle this season with Mike Williamson and captain Fabricio Coloccini boss Alan Pardew's preferred central defensive partnership. Yanga-Mbiwa has made 46 appearances in all competitions for the Magpies and has been capped three times by France.;Roma and Marseille could offer Yanga-Mbiwa an escape from his Newcastle nightmare . French defender yet to feature for Magpies this season . He's behind Fabricio Coloccini and Mike Williamson in the St James' Park pecking order . Hopes to get a deal sorted before the end of the transfer window
By Darren Boyle These are the amazing scenes as Mani the monkey and her child herd an Indian farmer's goats - even jumping on the larger animals making sure that errant goats choose the right path. Scroll down for video Mani takes control of a goat while on a stroll through the woodland Like a jockey at Aintree, Mani steers the goat towards the front of the field It's not all hard work as Mani allows her charges to take a short break Some of the goats are more stubborn than others and Mani is forced to scratch her head to come up with a new plan Almost home as Mani manages to get the goats safely back to the village In you go as Mani sends the goats home for the night, out of the reach of dangerous predators;Mani the monkey helps the unnamed farmer in rural India keep control of his goat herd . The talented monkey jumps from goat to goat to ensure they choose the right path . Mani even manages to work despite caring for her adorable baby monkey . The monkey makes sure that each of the goats makes it home safely after their outing
By Daily Mail Reporter PUBLISHED: 17:05 EST, 3 October 2013 | UPDATED: 17:26 EST, 3 October 2013 Committed suicide? Broke motivational speaker Henry Locker is said to have hired Kenneth Minor to help assist in his death as part of a life insurance scam. Minor was convicted of murdering Locker in 2011 but today won a re-trial after it was decided the judge had 'misinterpreted the law' Jeffrey Locker was a Modal Trigger Motivational speaker. The man convicted of his murder, Kenneth Minor, has won a retrial in an attempt to prove Kenneth Minor, a known drug abuser, claims he was approached on the street in East Harlem (pictured) by Jeffrey Locker, a debt-ridden motivational speaker who needed help in making his suicide look like a robbery as part of an $18 million life insurance scam.;Kenneth Minor sentence to 20 years prison in 2011 for murdering Jeffrey Locker . Minor has maintained he was hired to help Locker kill himself as part of an insurance scam . Supreme court rule against judge, who is said to have 'confused' the law and the jury . Minor's lawyers prepare to push for manslaughter charge at retrial
Raheem Sterling has admitted he is not ready to sign a new contract at Liverpool deal despite being offered a £100,000-a-week deal to stay with the Merseyside club. The 20-year-old wideman edged closer towards an Anfield exit after revealing in an interview with the BBC on Wednesday that he would have signed for a lot less a year ago. However, despite being one of Liverpool's star men, Sterling has struggled to repeat the impressive form he showed for the Reds last season. The England international has managed just six goals this season - one less than Stoke frontman Jon Walters - while his conversion rate and minutes per goal ratio have worsened as the graphic below shows. Raheem Sterling has managed just six goals this season - one less than Stoke forward Jon Walters (left);Raheem Sterling has revealed he is not ready to sign a new Liverpool deal . The Reds wideman has struggled to repeat last season's impressive form . The 20-year-old Liverpool star has managed just six goals this season . READ: Sterling insists he is not a 'money-grabbing 20-year-old' . Sterling: What he said about contract talks... and what he meant . CLICK HERE for the latest Liverpool news
